Fundos,Setor,Preço Atual (R$),Liquidez Diária (R$),P/VP,Último Dividendo,Dividend Yield,DY (3M) Acumulado,DY (6M) Acumulado,DY (12M) Acumulado,DY (3M) média,DY (6M) média,DY (12M) média,DY Ano,Variação Preço,Rentab. Período,Rentab. Acumulada,Patrimônio Líquido,VPA,P/VPA,DY Patrimonial,Variação Patrimonial,Rentab. Patr. Período,Rentab. Patr. Acumulada,Quant. Ativos,Volatilidade,Num. Cotistas,Tax. Gestão,Tax. Performance,Tax. Administração
LPLP11,Indefinido,"229,99","2.351,36","0,79","0,18","0,05 %","8,31 %","18,56 %","18,56 %","2,77 %","3,09 %","1,55 %","8,31 %","42,86 %","42,93 %","22,87 %","217.378.855,97",N/A,N/A,N/A,N/A,N/A,N/A,14,"25.548,68",40,N/A,N/A,N/A
LRDI11,Indefinido,180,"1.531,89","2,34","6,23","0,00 %","24,62 %","24,62 %","38,14 %","8,21 %","6,16 %","9,54 %","0,00 %","0,00 %","0,00 %",N/A,"28.474.130,29",N/A,N/A,N/A,N/A,N/A,N/A,14,"14.409,77",138,N/A,N/A,N/A
LSAG11,Indefinido,"81,49","94.677,50","0,82","1,05","1,29 %","3,69 %","7,90 %","17,89 %","1,23 %","1,32 %","1,49 %","5,02 %","-5,22 %","-4,00 %","13,50 %","98.983.041,62","98,07","0,83","1,07 %","0,00 %","0,00 %","0,00 %",0,"1.748,21",2.608,N/A,N/A,"1,47 % a.a"
LSOI11,Misto,"12,02","1.333.334,67","0,91","0,1","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"70.998.952,81",N/A,N/A,N/A,N/A,N/A,N/A,2,"1.087,42",40,N/A,N/A,N/A
LSPA11,Papéis,"24,01","453,61","1,15","20,85","86,84 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","299,45 %","0,00 %","86,84 %","153,73 %","8.473.824,04",N/A,N/A,N/A,N/A,N/A,N/A,14,"0,39",727,N/A,N/A,N/A
LTMT11,Imóveis Residenciais,"93,78","11.149,33",1,"8,38","8,80 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","8,80 %","0,00 %","0,00 %",N/A,"14.678.440,76",N/A,N/A,N/A,N/A,N/A,N/A,1,"31.767,89",114,N/A,N/A,N/A
LUGG11,Imóveis Residenciais,"72,82","23.956,00","0,55","0,59","0,88 %","2,59 %","5,08 %","9,23 %","0,86 %","0,85 %","0,77 %","9,23 %","-3,20 %","-2,35 %","-10,08 %","132.968.746,75","117,6","0,62","0,51 %","-7,97 %","-7,50 %","-0,34 %",5,"10,07",7.962,N/A,N/A,"1,00 % a.a"
LVBI11,Imóveis Industriais e Logísticos,"108,75","2.602.727,85","0,91","0,75","0,69 %","2,04 %","4,14 %","8,72 %","0,68 %","0,69 %","0,73 %","2,72 %","-1,64 %","-0,97 %","3,78 %","1.935.816.398,04","120,1","0,91","0,62 %","3,98 %","4,63 %","10,01 %",9,"1.267,30",123.246,"0,80 % a.a",N/A,N/A
MANA11,Indefinido,"9,38","1.027.225,35","0,99","0,11","1,17 %","3,61 %","7,43 %","15,56 %","1,20 %","1,24 %","1,30 %","2,36 %","1,84 %","3,03 %","9,45 %","354.069.711,85",N/A,N/A,N/A,N/A,N/A,N/A,14,"795,32",37.281,N/A,"20,00 % a.a","1,00 % a.a"
MATV11,Indefinido,"86,63","13.027,43","1,36","0,6","0,73 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","3,11 %","-1,41 %","-0,69 %","-1,08 %","118.155.565,38","91,09","0,95","0,66 %","-1,89 %","-1,24 %","-0,18 %",1,"0,37",8.102,N/A,N/A,N/A
MAXR11,Varejo,"62,74","245.293,80","0,68","0,3","0,47 %","1,82 %","2,86 %","6,56 %","0,61 %","0,48 %","0,55 %","2,21 %","0,27 %","0,74 %","4,39 %","104.612.491,59","92,93","0,68","0,33 %","-24,50 %","-24,24 %","-18,65 %",7,"1.567,05",3.751,N/A,N/A,"0,30 % a.a"
MBRF11,Lajes Corporativas,N/A,N/A,N/A,"0,5","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,N/A,"1.136,01",N/A,"0,88 %","-0,17 %","0,71 %","10,03 %",0,N/A,0,N/A,N/A,N/A
MCCI11,Papéis,"96,21","3.970.511,75","1,01",1,"1,09 %","3,38 %","6,87 %","13,91 %","1,13 %","1,15 %","1,16 %","1,09 %","4,76 %","5,90 %","5,90 %","1.613.492.898,72","95,67","1,01","1,05 %","3,43 %","4,51 %","9,36 %",14,"1.149,05",121.675,"0,80 % a.a","20,00 % a.a","0,20 % a.a"
MCEM11,Shoppings,"59,94","42.408,30","1,82","0,67","1,17 %","3,30 %","5,47 %","10,01 %","1,10 %","0,91 %","0,91 %","3,30 %","-11,09 %","-10,05 %","-5,25 %","115.205.919,87",N/A,N/A,N/A,N/A,N/A,N/A,14,"5.116,08",223,N/A,"20,00 % a.a","1,30 % a.a"
MCLO11,Imóveis Industriais e Logísticos,"9,75","1.506.267,44","0,76","0,07","0,70 %","2,35 %","4,22 %","8,02 %","0,78 %","0,70 %","0,67 %","3,32 %","0,60 %","1,31 %","-1,66 %","1.718.722.451,29",N/A,N/A,N/A,N/A,N/A,N/A,5,"4.347,43",239,N/A,N/A,N/A
MCRE11,Papéis,"9,68","2.022.806,25","0,94","0,11","1,15 %","3,44 %","7,17 %","15,41 %","1,15 %","1,20 %","1,28 %","4,59 %","-0,62 %","0,52 %","15,36 %","1.140.014.274,59",N/A,N/A,N/A,N/A,N/A,N/A,1,"1.126,90",91.436,"1,10 % a.a","20,00 % a.a","0,20 % a.a"
MFAI11,Fundo de Fundos,"69,98","11.326,82","0,99","34,18","48,84 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","56,24 %","2,66 %","52,79 %","89,75 %","27.463.042,22",N/A,N/A,"0,00 %","-100,00 %","0,00 %","0,00 %",14,"0,02",2.301,N/A,"20,00 % a.a","1,00 % a.a"
MFII11,Fundo de Desenvolvimento,"71,43","1.567.204,65","0,74","1,05","1,30 %","4,10 %","8,22 %","16,80 %","1,37 %","1,37 %","1,40 %","2,69 %","5,22 %","6,59 %","9,08 %","646.542.065,48","96,23","0,74","1,09 %","-8,99 %","-7,99 %","1,72 %",1,"1.070,29",33.068,N/A,"20,00 % a.a","2,00 % a.a"
MGCR11,Papéis,"9,4","259.145,59","0,15","0,33","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","8,00 %","0,00 %","0,00 %",N/A,"118.155.565,38","9,78","0,96","1,02 %","-89,08 %","-88,97 %","-88,55 %",14,"14,56",8.102,N/A,N/A,N/A
MGFF11,Fundo de Fundos,"69,99","2.558.695,75","1,1","4,26","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"118.155.565,38","73,54","0,95","0,71 %","2,57 %","3,29 %","-0,09 %",14,"8,07",8.102,N/A,"20,00 % a.a","0,20 % a.a"
MGHT11,Hotéis,"12,43","7.869,90","0,55","0,13","0,42 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","7,24 %","-14,42 %","-14,07 %","-21,90 %","30.149.340,94","50,81","0,24","0,26 %","-40,63 %","-40,48 %","-43,69 %",1,"5.200,47",3.416,N/A,"20,00 % a.a","1,20 % a.a"
MGRI11,Indefinido,"58,18",N/A,"1,16","1,18","0,00 %","0,00 %","0,00 %","8,02 %","0,00 %","0,00 %","0,67 %","0,00 %","0,00 %","0,00 %",N/A,"16.056.745,67",N/A,N/A,N/A,N/A,N/A,N/A,1,"3,52",2,"0,85 % a.a",N/A,"0,14 % a.a"
MMPD11,Indefinido,N/A,N/A,N/A,"1,28","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"60.236.102,09",N/A,N/A,N/A,N/A,N/A,N/A,14,N/A,102,N/A,N/A,N/A
